TstPic, TstSub, Result
07.pgm,s14,s14
08.pgm,s14,s14
09.pgm,s14,s14
10.pgm,s14,s14
04.pgm,s15,s31
05.pgm,s15,s25
06.pgm,s15,s09
07.pgm,s15,s40
08.pgm,s15,s03
09.pgm,s15,s25
10.pgm,s15,s15
04.pgm,s16,s36
05.pgm,s16,s19
06.pgm,s16,s16
07.pgm,s16,s16
08.pgm,s16,s16
09.pgm,s16,s16
10.pgm,s16,s16
04.pgm,s17,s14
05.pgm,s17,s19
06.pgm,s17,s26
07.pgm,s17,s07
08.pgm,s17,s07
09.pgm,s17,s37
10.pgm,s17,s37
04.pgm,s18,s05
05.pgm,s18,s18
06.pgm,s18,s25
07.pgm,s18,s06
08.pgm,s18,s40
09.pgm,s18,s05
10.pgm,s18,s25
04.pgm,s19,s26
05.pgm,s19,s40
06.pgm,s19,s19
07.pgm,s19,s26
08.pgm,s19,s26
09.pgm,s19,s40
10.pgm,s19,s36
04.pgm,s20,s03
05.pgm,s20,s14
06.pgm,s20,s26
07.pgm,s20,s08
08.pgm,s20,s11
09.pgm,s20,s32
10.pgm,s20,s39
04.pgm,s21,s26
05.pgm,s21,s30
06.pgm,s21,s26
07.pgm,s21,s30
08.pgm,s21,s30
09.pgm,s21,s30
10.pgm,s21,s30
04.pgm,s22,s22
05.pgm,s22,s22
06.pgm,s22,s22
07.pgm,s22,s22
08.pgm,s22,s33
09.pgm,s22,s29
10.pgm,s22,s39
04.pgm,s23,s25
05.pgm,s23,s35
06.pgm,s23,s12
07.pgm,s23,s17
08.pgm,s23,s37
09.pgm,s23,s28
10.pgm,s23,s25
04.pgm,s24,s24
05.pgm,s24,s30
06.pgm,s24,s24
07.pgm,s24,s24
08.pgm,s24,s24
09.pgm,s24,s30
10.pgm,s24,s30
04.pgm,s25,s05
05.pgm,s25,s25
06.pgm,s25,s05
07.pgm,s25,s26
08.pgm,s25,s25
09.pgm,s25,s26
10.pgm,s25,s05
04.pgm,s26,s04
05.pgm,s26,s12
06.pgm,s26,s25
07.pgm,s26,s38
08.pgm,s26,s25
09.pgm,s26,s03
10.pgm,s26,s23
04.pgm,s27,s37
05.pgm,s27,s14
06.pgm,s27,s11
07.pgm,s27,s27
08.pgm,s27,s14
09.pgm,s27,s14
10.pgm,s27,s10
04.pgm,s28,s17
05.pgm,s28,s37
06.pgm,s28,s23
07.pgm,s28,s14
08.pgm,s28,s26
09.pgm,s28,s07
10.pgm,s28,s26
04.pgm,s29,s39
05.pgm,s29,s20
06.pgm,s29,s33
07.pgm,s29,s30
08.pgm,s29,s33
09.pgm,s29,s29
10.pgm,s29,s29
04.pgm,s30,s22
05.pgm,s30,s21
06.pgm,s30,s30
07.pgm,s30,s22
08.pgm,s30,s30
09.pgm,s30,s30
10.pgm,s30,s20
04.pgm,s31,s03
05.pgm,s31,s09
06.pgm,s31,s04
07.pgm,s31,s29
08.pgm,s31,s09
09.pgm,s31,s29
10.pgm,s31,s03
04.pgm,s32,s04
05.pgm,s32,s12
06.pgm,s32,s14
07.pgm,s32,s35
08.pgm,s32,s40
09.pgm,s32,s32
10.pgm,s32,s15
04.pgm,s33,s39
05.pgm,s33,s33
06.pgm,s33,s30
07.pgm,s33,s20
08.pgm,s33,s39
09.pgm,s33,s33
10.pgm,s33,s33
04.pgm,s34,s34
05.pgm,s34,s30
06.pgm,s34,s39
07.pgm,s34,s33
08.pgm,s34,s22
09.pgm,s34,s34
10.pgm,s34,s34
04.pgm,s35,s09
05.pgm,s35,s26
06.pgm,s35,s03
07.pgm,s35,s32
08.pgm,s35,s13
09.pgm,s35,s26
10.pgm,s35,s23
04.pgm,s36,s17
05.pgm,s36,s07
06.pgm,s36,s16
07.pgm,s36,s37
08.pgm,s36,s14
09.pgm,s36,s11
10.pgm,s36,s19
04.pgm,s37,s17
05.pgm,s37,s17
06.pgm,s37,s07
07.pgm,s37,s09
08.pgm,s37,s07
09.pgm,s37,s07
10.pgm,s37,s07
04.pgm,s38,s28
05.pgm,s38,s04
06.pgm,s38,s23
07.pgm,s38,s12
08.pgm,s38,s23
09.pgm,s38,s26
10.pgm,s38,s26
04.pgm,s39,s39
05.pgm,s39,s22
06.pgm,s39,s22
07.pgm,s39,s33
08.pgm,s39,s33
09.pgm,s39,s33
10.pgm,s39,s22
04.pgm,s40,s03
05.pgm,s40,s05
06.pgm,s40,s35
07.pgm,s40,s18
08.pgm,s40,s03
09.pgm,s40,s25
10.pgm,s40,s25
_gzip
04.pgm,s01,s25
05.pgm,s01,s36
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s25
09.pgm,s01,s40
10.pgm,s01,s27
04.pgm,s02,s02
05.pgm,s02,s02
06.pgm,s02,s02
07.pgm,s02,s20
08.pgm,s02,s02
09.pgm,s02,s02
10.pgm,s02,s02
04.pgm,s03,s12
05.pgm,s03,s26
06.pgm,s03,s26
07.pgm,s03,s26
08.pgm,s03,s26
09.pgm,s03,s26
10.pgm,s03,s26
04.pgm,s04,s38
05.pgm,s04,s26
06.pgm,s04,s25
07.pgm,s04,s25
08.pgm,s04,s26
09.pgm,s04,s04
10.pgm,s04,s04
04.pgm,s05,s05
05.pgm,s05,s18
06.pgm,s05,s18
07.pgm,s05,s05
08.pgm,s05,s18
09.pgm,s05,s18
10.pgm,s05,s18
04.pgm,s06,s06
05.pgm,s06,s06
06.pgm,s06,s06
07.pgm,s06,s06
08.pgm,s06,s06
09.pgm,s06,s06
10.pgm,s06,s06
04.pgm,s07,s07
05.pgm,s07,s07
06.pgm,s07,s07
07.pgm,s07,s07
08.pgm,s07,s07
09.pgm,s07,s07
10.pgm,s07,s36
04.pgm,s08,s08
05.pgm,s08,s08
06.pgm,s08,s08
07.pgm,s08,s08
08.pgm,s08,s08
09.pgm,s08,s08
10.pgm,s08,s08
04.pgm,s09,s38
05.pgm,s09,s26
06.pgm,s09,s26
07.pgm,s09,s26
08.pgm,s09,s38
09.pgm,s09,s26
10.pgm,s09,s26
04.pgm,s10,s10
05.pgm,s10,s38
06.pgm,s10,s38
07.pgm,s10,s27
08.pgm,s10,s10
09.pgm,s10,s28
10.pgm,s10,s10
04.pgm,s11,s11
05.pgm,s11,s11
06.pgm,s11,s11
07.pgm,s11,s11
08.pgm,s11,s11
09.pgm,s11,s11
10.pgm,s11,s11
04.pgm,s12,s26
05.pgm,s12,s26
06.pgm,s12,s12
07.pgm,s12,s12
08.pgm,s12,s40
09.pgm,s12,s12
10.pgm,s12,s12
04.pgm,s13,s25
05.pgm,s13,s26
06.pgm,s13,s25
07.pgm,s13,s26
08.pgm,s13,s40
09.pgm,s13,s26
10.pgm,s13,s26
04.pgm,s14,s14
05.pgm,s14,s11
06.pgm,s14,s14
07.pgm,s14,s03
08.pgm,s14,s14
09.pgm,s14,s10
10.pgm,s14,s11
04.pgm,s15,s15
05.pgm,s15,s25
06.pgm,s15,s15
07.pgm,s15,s25
08.pgm,s15,s15
09.pgm,s15,s15
10.pgm,s15,s25
04.pgm,s16,s36
05.pgm,s16,s19
06.pgm,s16,s16
07.pgm,s16,s16
08.pgm,s16,s16
09.pgm,s16,s16
10.pgm,s16,s16
04.pgm,s17,s17
05.pgm,s17,s17
06.pgm,s17,s17
07.pgm,s17,s17
08.pgm,s17,s37
09.pgm,s17,s07
10.pgm,s17,s17
04.pgm,s18,s40
05.pgm,s18,s18
06.pgm,s18,s25
07.pgm,s18,s06
08.pgm,s18,s18
09.pgm,s18,s05
10.pgm,s18,s25
04.pgm,s19,s26
05.pgm,s19,s26
06.pgm,s19,s19
07.pgm,s19,s26
08.pgm,s19,s26
09.pgm,s19,s40
10.pgm,s19,s19
04.pgm,s20,s31
05.pgm,s20,s14
06.pgm,s20,s20
07.pgm,s20,s14
08.pgm,s20,s36
09.pgm,s20,s14
10.pgm,s20,s20
04.pgm,s21,s30
05.pgm,s21,s30
06.pgm,s21,s30
07.pgm,s21,s30
08.pgm,s21,s30
09.pgm,s21,s30
10.pgm,s21,s30
04.pgm,s22,s22
05.pgm,s22,s22
06.pgm,s22,s29
07.pgm,s22,s22
08.pgm,s22,s22
09.pgm,s22,s22
10.pgm,s22,s22
04.pgm,s23,s23
05.pgm,s23,s23
06.pgm,s23,s23
07.pgm,s23,s03
08.pgm,s23,s23
09.pgm,s23,s23
10.pgm,s23,s23
04.pgm,s24,s30
05.pgm,s24,s30
06.pgm,s24,s24
07.pgm,s24,s24
08.pgm,s24,s24
09.pgm,s24,s20
10.pgm,s24,s30
04.pgm,s25,s25
05.pgm,s25,s25
06.pgm,s25,s40
07.pgm,s25,s25
08.pgm,s25,s25
09.pgm,s25,s25
10.pgm,s25,s25
04.pgm,s26,s03
05.pgm,s26,s03
06.pgm,s26,s26
07.pgm,s26,s40
08.pgm,s26,s25
09.pgm,s26,s26
10.pgm,s26,s26
04.pgm,s27,s27
05.pgm,s27,s27
06.pgm,s27,s10
07.pgm,s27,s27
08.pgm,s27,s14
09.pgm,s27,s10
10.pgm,s27,s10
04.pgm,s28,s28
05.pgm,s28,s28
06.pgm,s28,s28
07.pgm,s28,s28
08.pgm,s28,s28
09.pgm,s28,s28
10.pgm,s28,s12
04.pgm,s29,s30
05.pgm,s29,s30
06.pgm,s29,s30
07.pgm,s29,s30
08.pgm,s29,s30
09.pgm,s29,s29
10.pgm,s29,s29
04.pgm,s30,s30
05.pgm,s30,s22
06.pgm,s30,s30
07.pgm,s30,s22
08.pgm,s30,s30
09.pgm,s30,s30
10.pgm,s30,s30
04.pgm,s31,s31
05.pgm,s31,s31
06.pgm,s31,s31
07.pgm,s31,s29
08.pgm,s31,s31
09.pgm,s31,s29
10.pgm,s31,s31
04.pgm,s32,s32
05.pgm,s32,s32
06.pgm,s32,s32
07.pgm,s32,s15
08.pgm,s32,s32
09.pgm,s32,s32
10.pgm,s32,s04
04.pgm,s33,s33
05.pgm,s33,s30
06.pgm,s33,s30
07.pgm,s33,s30
08.pgm,s33,s30
09.pgm,s33,s30
10.pgm,s33,s33
04.pgm,s34,s22
05.pgm,s34,s30
06.pgm,s34,s34
07.pgm,s34,s30
08.pgm,s34,s34
09.pgm,s34,s34
10.pgm,s34,s34
04.pgm,s35,s35
05.pgm,s35,s25
06.pgm,s35,s35
07.pgm,s35,s26
08.pgm,s35,s35
09.pgm,s35,s26
10.pgm,s35,s25
04.pgm,s36,s36
05.pgm,s36,s36
06.pgm,s36,s36
07.pgm,s36,s36
08.pgm,s36,s36
09.pgm,s36,s36
10.pgm,s36,s14
04.pgm,s37,s37
05.pgm,s37,s37
06.pgm,s37,s37
07.pgm,s37,s37
08.pgm,s37,s37
09.pgm,s37,s37
10.pgm,s37,s37
04.pgm,s38,s38
05.pgm,s38,s38
06.pgm,s38,s38
07.pgm,s38,s38
08.pgm,s38,s38
09.pgm,s38,s38
10.pgm,s38,s38
04.pgm,s39,s39
05.pgm,s39,s39
06.pgm,s39,s22
07.pgm,s39,s33
08.pgm,s39,s22
09.pgm,s39,s22
10.pgm,s39,s22
04.pgm,s40,s40
05.pgm,s40,s40
06.pgm,s40,s40
07.pgm,s40,s18
08.pgm,s40,s40
09.pgm,s40,s40
10.pgm,s40,s40
_lzma
04.pgm,s01,s26
05.pgm,s01,s36
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s38
09.pgm,s01,s38
10.pgm,s01,s28
04.pgm,s02,s02
05.pgm,s02,s02
06.pgm,s02,s02
07.pgm,s02,s15
08.pgm,s02,s02
09.pgm,s02,s02
10.pgm,s02,s02
04.pgm,s03,s25
05.pgm,s03,s38
06.pgm,s03,s28
07.pgm,s03,s04
08.pgm,s03,s38
09.pgm,s03,s03
10.pgm,s03,s20
04.pgm,s04,s25
05.pgm,s04,s23
06.pgm,s04,s13
07.pgm,s04,s18
08.pgm,s04,s04
09.pgm,s04,s04
10.pgm,s04,s28
04.pgm,s05,s05
05.pgm,s05,s05
06.pgm,s05,s05
07.pgm,s05,s05
08.pgm,s05,s13
09.pgm,s05,s18
10.pgm,s05,s18
04.pgm,s06,s06
05.pgm,s06,s06
06.pgm,s06,s06
07.pgm,s06,s05
08.pgm,s06,s06
09.pgm,s06,s06
10.pgm,s06,s06
04.pgm,s07,s36
05.pgm,s07,s36
06.pgm,s07,s07
07.pgm,s07,s07
08.pgm,s07,s07
09.pgm,s07,s07
10.pgm,s07,s36
04.pgm,s08,s08
05.pgm,s08,s08
06.pgm,s08,s08
07.pgm,s08,s08
08.pgm,s08,s08
09.pgm,s08,s08
10.pgm,s08,s08
04.pgm,s09,s09
05.pgm,s09,s25
06.pgm,s09,s26
07.pgm,s09,s38
08.pgm,s09,s26
09.pgm,s09,s38
10.pgm,s09,s26
04.pgm,s10,s10
05.pgm,s10,s10
06.pgm,s10,s10
07.pgm,s10,s10
08.pgm,s10,s10
09.pgm,s10,s10
10.pgm,s10,s08
04.pgm,s11,s11
05.pgm,s11,s11
06.pgm,s11,s11
07.pgm,s11,s11
08.pgm,s11,s11
09.pgm,s11,s11
10.pgm,s11,s11
04.pgm,s12,s12
05.pgm,s12,s12
06.pgm,s12,s12
07.pgm,s12,s12
08.pgm,s12,s13
09.pgm,s12,s12
10.pgm,s12,s12
04.pgm,s13,s13
05.pgm,s13,s37
06.pgm,s13,s37
07.pgm,s13,s37
08.pgm,s13,s28
09.pgm,s13,s13
10.pgm,s13,s13
04.pgm,s14,s14
05.pgm,s14,s14
06.pgm,s14,s14
07.pgm,s14,s10
08.pgm,s14,s14
09.pgm,s14,s10
10.pgm,s14,s12
04.pgm,s15,s15
05.pgm,s15,s33
06.pgm,s15,s15
07.pgm,s15,s33
08.pgm,s15,s15
09.pgm,s15,s33
10.pgm,s15,s15
04.pgm,s16,s07
05.pgm,s16,s36
06.pgm,s16,s19
07.pgm,s16,s16
08.pgm,s16,s16
09.pgm,s16,s16
10.pgm,s16,s16
04.pgm,s17,s17
05.pgm,s17,s17
06.pgm,s17,s17
07.pgm,s17,s17
08.pgm,s17,s17
09.pgm,s17,s17
10.pgm,s17,s17
04.pgm,s18,s18
05.pgm,s18,s40
06.pgm,s18,s04
07.pgm,s18,s40
08.pgm,s18,s18
09.pgm,s18,s18
10.pgm,s18,s18
04.pgm,s19,s02
05.pgm,s19,s10
06.pgm,s19,s19
07.pgm,s19,s15
08.pgm,s19,s19
09.pgm,s19,s26
10.pgm,s19,s19
04.pgm,s20,s04
05.pgm,s20,s17
06.pgm,s20,s04
07.pgm,s20,s32
08.pgm,s20,s09
09.pgm,s20,s12
10.pgm,s20,s20
04.pgm,s21,s35
05.pgm,s21,s21
06.pgm,s21,s21
07.pgm,s21,s21
08.pgm,s21,s35
09.pgm,s21,s21
10.pgm,s21,s21
04.pgm,s22,s22
05.pgm,s22,s22
06.pgm,s22,s22
07.pgm,s22,s22
08.pgm,s22,s22
09.pgm,s22,s22
10.pgm,s22,s22
04.pgm,s23,s23
05.pgm,s23,s23
06.pgm,s23,s23
07.pgm,s23,s23
08.pgm,s23,s23
09.pgm,s23,s23
10.pgm,s23,s23
04.pgm,s24,s22
05.pgm,s24,s36
06.pgm,s24,s24
07.pgm,s24,s24
08.pgm,s24,s24
09.pgm,s24,s24
10.pgm,s24,s22
04.pgm,s25,s25
05.pgm,s25,s25
06.pgm,s25,s25
07.pgm,s25,s25
08.pgm,s25,s13
09.pgm,s25,s25
10.pgm,s25,s25
04.pgm,s26,s26
05.pgm,s26,s28
06.pgm,s26,s13
07.pgm,s26,s13
08.pgm,s26,s26
09.pgm,s26,s25
10.pgm,s26,s25
04.pgm,s27,s27
05.pgm,s27,s27
06.pgm,s27,s27
07.pgm,s27,s10
08.pgm,s27,s27
09.pgm,s27,s27
10.pgm,s27,s27
04.pgm,s28,s28
05.pgm,s28,s28
06.pgm,s28,s35
07.pgm,s28,s28
08.pgm,s28,s28
09.pgm,s28,s28
10.pgm,s28,s28
04.pgm,s29,s33
05.pgm,s29,s26
06.pgm,s29,s35
07.pgm,s29,s33
08.pgm,s29,s26
09.pgm,s29,s29
10.pgm,s29,s33
04.pgm,s30,s30
05.pgm,s30,s30
06.pgm,s30,s30
07.pgm,s30,s30
08.pgm,s30,s30
09.pgm,s30,s30
10.pgm,s30,s30
04.pgm,s31,s31
05.pgm,s31,s31
06.pgm,s31,s31
07.pgm,s31,s30
08.pgm,s31,s31
09.pgm,s31,s30
10.pgm,s31,s31
04.pgm,s32,s32
05.pgm,s32,s32
06.pgm,s32,s32
07.pgm,s32,s32
08.pgm,s32,s32
09.pgm,s32,s32
10.pgm,s32,s32
04.pgm,s33,s33
05.pgm,s33,s33
06.pgm,s33,s33
07.pgm,s33,s33
08.pgm,s33,s33
09.pgm,s33,s33
10.pgm,s33,s33
04.pgm,s34,s34
05.pgm,s34,s34
06.pgm,s34,s34
07.pgm,s34,s34
08.pgm,s34,s34
09.pgm,s34,s34
10.pgm,s34,s34
04.pgm,s35,s35
05.pgm,s35,s35
06.pgm,s35,s35
07.pgm,s35,s28
08.pgm,s35,s35
09.pgm,s35,s28
10.pgm,s35,s35
04.pgm,s36,s36
05.pgm,s36,s36
06.pgm,s36,s36
07.pgm,s36,s19
08.pgm,s36,s36
09.pgm,s36,s36
10.pgm,s36,s11
04.pgm,s37,s37
05.pgm,s37,s37
06.pgm,s37,s37
07.pgm,s37,s37
08.pgm,s37,s37
09.pgm,s37,s37
10.pgm,s37,s37
04.pgm,s38,s38
05.pgm,s38,s38
06.pgm,s38,s38
07.pgm,s38,s38
08.pgm,s38,s38
09.pgm,s38,s38
10.pgm,s38,s38
04.pgm,s39,s39
05.pgm,s39,s39
06.pgm,s39,s33
07.pgm,s39,s39
08.pgm,s39,s39
09.pgm,s39,s33
10.pgm,s39,s21
04.pgm,s40,s25
05.pgm,s40,s40
06.pgm,s40,s40
07.pgm,s40,s40
08.pgm,s40,s32
09.pgm,s40,s40
10.pgm,s40,s25
_bzip2
04.pgm,s01,s01
05.pgm,s01,s01
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s01
09.pgm,s01,s01
10.pgm,s01,s01
04.pgm,s02,s02
05.pgm,s02,s02
06.pgm,s02,s02
07.pgm,s02,s27
08.pgm,s02,s02
09.pgm,s02,s02
10.pgm,s02,s15
04.pgm,s03,s23
05.pgm,s03,s03
06.pgm,s03,s26
07.pgm,s03,s26
08.pgm,s03,s26
09.pgm,s03,s38
10.pgm,s03,s35
04.pgm,s04,s23
05.pgm,s04,s25
06.pgm,s04,s26
07.pgm,s04,s23
08.pgm,s04,s28
09.pgm,s04,s04
10.pgm,s04,s23
04.pgm,s05,s05
05.pgm,s05,s05
06.pgm,s05,s05
07.pgm,s05,s05
08.pgm,s05,s18
09.pgm,s05,s05
10.pgm,s05,s05
04.pgm,s06,s06
05.pgm,s06,s06
06.pgm,s06,s06
07.pgm,s06,s06
08.pgm,s06,s06
09.pgm,s06,s06
10.pgm,s06,s06
04.pgm,s07,s36
05.pgm,s07,s37
06.pgm,s07,s07
07.pgm,s07,s07
08.pgm,s07,s17
09.pgm,s07,s07
10.pgm,s07,s36
04.pgm,s08,s08
05.pgm,s08,s08
06.pgm,s08,s08
07.pgm,s08,s08
08.pgm,s08,s08
09.pgm,s08,s08
10.pgm,s08,s08
04.pgm,s09,s38
05.pgm,s09,s09
06.pgm,s09,s38
07.pgm,s09,s13
08.pgm,s09,s38
09.pgm,s09,s26
10.pgm,s09,s38
04.pgm,s10,s10
05.pgm,s10,s26
06.pgm,s10,s40
07.pgm,s10,s10
08.pgm,s10,s10
09.pgm,s10,s10
10.pgm,s10,s10
04.pgm,s11,s11
05.pgm,s11,s11
06.pgm,s11,s11
07.pgm,s11,s11
08.pgm,s11,s11
09.pgm,s11,s11
10.pgm,s11,s11
04.pgm,s12,s27
05.pgm,s12,s12
06.pgm,s12,s12
07.pgm,s12,s35
08.pgm,s12,s23
09.pgm,s12,s12
10.pgm,s12,s12
04.pgm,s13,s13
05.pgm,s13,s04
06.pgm,s13,s35
07.pgm,s13,s09
08.pgm,s13,s13
09.pgm,s13,s04
10.pgm,s13,s35
04.pgm,s14,s32
05.pgm,s14,s11
06.pgm,s14,s14
07.pgm,s14,s14
08.pgm,s14,s14
09.pgm,s14,s10
10.pgm,s14,s14
04.pgm,s15,s15
05.pgm,s15,s15
06.pgm,s15,s15
07.pgm,s15,s23
08.pgm,s15,s15
09.pgm,s15,s05
10.pgm,s15,s18
04.pgm,s16,s36
05.pgm,s16,s36
06.pgm,s16,s07
07.pgm,s16,s16
08.pgm,s16,s16
09.pgm,s16,s16
10.pgm,s16,s16
04.pgm,s17,s17
05.pgm,s17,s07
06.pgm,s17,s17
07.pgm,s17,s17
08.pgm,s17,s17
09.pgm,s17,s17
10.pgm,s17,s17
04.pgm,s18,s40
05.pgm,s18,s05
06.pgm,s18,s18
07.pgm,s18,s18
08.pgm,s18,s18
09.pgm,s18,s13
10.pgm,s18,s18
04.pgm,s19,s17
05.pgm,s19,s26
06.pgm,s19,s19
07.pgm,s19,s02
08.pgm,s19,s17
09.pgm,s19,s13
10.pgm,s19,s19
04.pgm,s20,s04
05.pgm,s20,s32
06.pgm,s20,s14
07.pgm,s20,s32
08.pgm,s20,s04
09.pgm,s20,s32
10.pgm,s20,s20
04.pgm,s21,s35
05.pgm,s21,s35
06.pgm,s21,s35
07.pgm,s21,s31
08.pgm,s21,s20
09.pgm,s21,s09
10.pgm,s21,s35
04.pgm,s22,s22
05.pgm,s22,s33
06.pgm,s22,s22
07.pgm,s22,s22
08.pgm,s22,s22
09.pgm,s22,s22
10.pgm,s22,s33
04.pgm,s23,s23
05.pgm,s23,s26
06.pgm,s23,s23
07.pgm,s23,s23
08.pgm,s23,s23
09.pgm,s23,s38
10.pgm,s23,s23
04.pgm,s24,s24
05.pgm,s24,s38
06.pgm,s24,s33
07.pgm,s24,s24
08.pgm,s24,s24
09.pgm,s24,s33
10.pgm,s24,s33
04.pgm,s25,s25
05.pgm,s25,s25
06.pgm,s25,s25
07.pgm,s25,s26
08.pgm,s25,s23
09.pgm,s25,s25
10.pgm,s25,s26
04.pgm,s26,s26
05.pgm,s26,s23
06.pgm,s26,s26
07.pgm,s26,s38
08.pgm,s26,s23
09.pgm,s26,s25
10.pgm,s26,s26
04.pgm,s27,s04
05.pgm,s27,s27
06.pgm,s27,s27
07.pgm,s27,s10
08.pgm,s27,s10
09.pgm,s27,s27
10.pgm,s27,s27
04.pgm,s28,s28
05.pgm,s28,s28
06.pgm,s28,s28
07.pgm,s28,s14
08.pgm,s28,s35
09.pgm,s28,s28
10.pgm,s28,s26
04.pgm,s29,s20
05.pgm,s29,s20
06.pgm,s29,s20
07.pgm,s29,s20
08.pgm,s29,s20
09.pgm,s29,s29
10.pgm,s29,s29
04.pgm,s30,s30
05.pgm,s30,s30
06.pgm,s30,s30
07.pgm,s30,s30
08.pgm,s30,s30
09.pgm,s30,s30
10.pgm,s30,s30
04.pgm,s31,s31
05.pgm,s31,s31
06.pgm,s31,s31
07.pgm,s31,s29
08.pgm,s31,s31
09.pgm,s31,s29
10.pgm,s31,s31
04.pgm,s32,s32
05.pgm,s32,s32
06.pgm,s32,s32
07.pgm,s32,s32
08.pgm,s32,s04
09.pgm,s32,s35
10.pgm,s32,s04
04.pgm,s33,s33
05.pgm,s33,s33
06.pgm,s33,s33
07.pgm,s33,s33
08.pgm,s33,s33
09.pgm,s33,s33
10.pgm,s33,s33
04.pgm,s34,s34
05.pgm,s34,s34
06.pgm,s34,s34
07.pgm,s34,s34
08.pgm,s34,s34
09.pgm,s34,s34
10.pgm,s34,s02
04.pgm,s35,s35
05.pgm,s35,s35
06.pgm,s35,s35
07.pgm,s35,s23
08.pgm,s35,s35
09.pgm,s35,s35
10.pgm,s35,s35
04.pgm,s36,s36
05.pgm,s36,s36
06.pgm,s36,s16
07.pgm,s36,s27
08.pgm,s36,s16
09.pgm,s36,s27
10.pgm,s36,s11
04.pgm,s37,s37
05.pgm,s37,s37
06.pgm,s37,s37
07.pgm,s37,s37
08.pgm,s37,s37
09.pgm,s37,s35
10.pgm,s37,s28
04.pgm,s38,s38
05.pgm,s38,s03
06.pgm,s38,s38
07.pgm,s38,s31
08.pgm,s38,s23
09.pgm,s38,s38
10.pgm,s38,s38
04.pgm,s39,s39
05.pgm,s39,s39
06.pgm,s39,s33
07.pgm,s39,s33
08.pgm,s39,s33
09.pgm,s39,s33
10.pgm,s39,s22
04.pgm,s40,s40
05.pgm,s40,s23
06.pgm,s40,s40
07.pgm,s40,s05
08.pgm,s40,s04
09.pgm,s40,s18
10.pgm,s40,s40
_7z
04.pgm,s01,s26
05.pgm,s01,s08
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s38
09.pgm,s01,s38
10.pgm,s01,s36
04.pgm,s02,s15
05.pgm,s02,s15
06.pgm,s02,s24
07.pgm,s02,s35
08.pgm,s02,s10
09.pgm,s02,s10
10.pgm,s02,s04
04.pgm,s03,s13
05.pgm,s03,s33
06.pgm,s03,s12
07.pgm,s03,s04
08.pgm,s03,s09
09.pgm,s03,s26
10.pgm,s03,s10
04.pgm,s04,s15
05.pgm,s04,s05
06.pgm,s04,s38
07.pgm,s04,s26
08.pgm,s04,s13
09.pgm,s04,s28
10.pgm,s04,s37
04.pgm,s05,s05
05.pgm,s05,s05
06.pgm,s05,s05
07.pgm,s05,s15
08.pgm,s05,s13
09.pgm,s05,s18
10.pgm,s05,s18
04.pgm,s06,s25
05.pgm,s06,s06
06.pgm,s06,s06
07.pgm,s06,s05
08.pgm,s06,s25
09.pgm,s06,s06
10.pgm,s06,s25
