TstPic, TstSub, Result
05.pgm,s15,s01
06.pgm,s15,s01
07.pgm,s15,s01
08.pgm,s15,s02
09.pgm,s15,s01
10.pgm,s15,s08
04.pgm,s16,s22
05.pgm,s16,s34
06.pgm,s16,s08
07.pgm,s16,s03
08.pgm,s16,s10
09.pgm,s16,s08
10.pgm,s16,s08
04.pgm,s17,s38
05.pgm,s17,s25
06.pgm,s17,s23
07.pgm,s17,s38
08.pgm,s17,s01
09.pgm,s17,s02
10.pgm,s17,s40
04.pgm,s18,s03
05.pgm,s18,s09
06.pgm,s18,s12
07.pgm,s18,s11
08.pgm,s18,s12
09.pgm,s18,s19
10.pgm,s18,s01
04.pgm,s19,s02
05.pgm,s19,s10
06.pgm,s19,s01
07.pgm,s19,s23
08.pgm,s19,s27
09.pgm,s19,s40
10.pgm,s19,s25
04.pgm,s20,s13
05.pgm,s20,s05
06.pgm,s20,s02
07.pgm,s20,s03
08.pgm,s20,s24
09.pgm,s20,s27
10.pgm,s20,s17
04.pgm,s21,s01
05.pgm,s21,s01
06.pgm,s21,s02
07.pgm,s21,s08
08.pgm,s21,s08
09.pgm,s21,s02
10.pgm,s21,s18
04.pgm,s22,s26
05.pgm,s22,s14
06.pgm,s22,s19
07.pgm,s22,s17
08.pgm,s22,s04
09.pgm,s22,s04
10.pgm,s22,s11
04.pgm,s23,s25
05.pgm,s23,s38
06.pgm,s23,s25
07.pgm,s23,s01
08.pgm,s23,s40
09.pgm,s23,s06
10.pgm,s23,s12
04.pgm,s24,s01
05.pgm,s24,s10
06.pgm,s24,s11
07.pgm,s24,s10
08.pgm,s24,s10
09.pgm,s24,s01
10.pgm,s24,s18
04.pgm,s25,s38
05.pgm,s25,s07
06.pgm,s25,s29
07.pgm,s25,s07
08.pgm,s25,s37
09.pgm,s25,s14
10.pgm,s25,s16
04.pgm,s26,s08
05.pgm,s26,s29
06.pgm,s26,s07
07.pgm,s26,s19
08.pgm,s26,s13
09.pgm,s26,s24
10.pgm,s26,s11
04.pgm,s27,s21
05.pgm,s27,s40
06.pgm,s27,s40
07.pgm,s27,s08
08.pgm,s27,s27
09.pgm,s27,s23
10.pgm,s27,s05
04.pgm,s28,s12
05.pgm,s28,s27
06.pgm,s28,s10
07.pgm,s28,s22
08.pgm,s28,s03
09.pgm,s28,s38
10.pgm,s28,s10
04.pgm,s29,s25
05.pgm,s29,s29
06.pgm,s29,s29
07.pgm,s29,s38
08.pgm,s29,s01
09.pgm,s29,s04
10.pgm,s29,s10
04.pgm,s30,s10
05.pgm,s30,s08
06.pgm,s30,s02
07.pgm,s30,s10
08.pgm,s30,s19
09.pgm,s30,s38
10.pgm,s30,s01
04.pgm,s31,s02
05.pgm,s31,s01
06.pgm,s31,s16
07.pgm,s31,s33
08.pgm,s31,s40
09.pgm,s31,s22
10.pgm,s31,s02
04.pgm,s32,s18
05.pgm,s32,s18
06.pgm,s32,s27
07.pgm,s32,s13
08.pgm,s32,s13
09.pgm,s32,s25
10.pgm,s32,s24
04.pgm,s33,s01
05.pgm,s33,s25
06.pgm,s33,s18
07.pgm,s33,s02
08.pgm,s33,s18
09.pgm,s33,s01
10.pgm,s33,s02
04.pgm,s34,s27
05.pgm,s34,s14
06.pgm,s34,s08
07.pgm,s34,s14
08.pgm,s34,s14
09.pgm,s34,s10
10.pgm,s34,s12
04.pgm,s35,s40
05.pgm,s35,s37
06.pgm,s35,s40
07.pgm,s35,s29
08.pgm,s35,s08
09.pgm,s35,s25
10.pgm,s35,s17
04.pgm,s36,s08
05.pgm,s36,s38
06.pgm,s36,s01
07.pgm,s36,s01
08.pgm,s36,s40
09.pgm,s36,s21
10.pgm,s36,s21
04.pgm,s37,s05
05.pgm,s37,s11
06.pgm,s37,s18
07.pgm,s37,s12
08.pgm,s37,s12
09.pgm,s37,s05
10.pgm,s37,s05
04.pgm,s38,s09
05.pgm,s38,s21
06.pgm,s38,s22
07.pgm,s38,s11
08.pgm,s38,s09
09.pgm,s38,s26
10.pgm,s38,s11
04.pgm,s39,s14
05.pgm,s39,s18
06.pgm,s39,s27
07.pgm,s39,s02
08.pgm,s39,s11
09.pgm,s39,s38
10.pgm,s39,s12
04.pgm,s40,s08
05.pgm,s40,s26
06.pgm,s40,s25
07.pgm,s40,s06
08.pgm,s40,s02
09.pgm,s40,s26
10.pgm,s40,s10
_gzip
04.pgm,s01,s16
05.pgm,s01,s11
06.pgm,s01,s34
07.pgm,s01,s05
08.pgm,s01,s05
09.pgm,s01,s33
10.pgm,s01,s07
04.pgm,s02,s06
05.pgm,s02,s05
06.pgm,s02,s02
07.pgm,s02,s09
08.pgm,s02,s15
09.pgm,s02,s02
10.pgm,s02,s03
04.pgm,s03,s05
05.pgm,s03,s36
06.pgm,s03,s25
07.pgm,s03,s05
08.pgm,s03,s24
09.pgm,s03,s19
10.pgm,s03,s09
04.pgm,s04,s28
05.pgm,s04,s37
06.pgm,s04,s15
07.pgm,s04,s03
08.pgm,s04,s37
09.pgm,s04,s15
10.pgm,s04,s17
04.pgm,s05,s07
05.pgm,s05,s21
06.pgm,s05,s39
07.pgm,s05,s26
08.pgm,s05,s39
09.pgm,s05,s21
10.pgm,s05,s34
04.pgm,s06,s40
05.pgm,s06,s01
06.pgm,s06,s21
07.pgm,s06,s01
08.pgm,s06,s25
09.pgm,s06,s08
10.pgm,s06,s21
04.pgm,s07,s16
05.pgm,s07,s15
06.pgm,s07,s28
07.pgm,s07,s20
08.pgm,s07,s08
09.pgm,s07,s26
10.pgm,s07,s24
04.pgm,s08,s35
05.pgm,s08,s23
06.pgm,s08,s30
07.pgm,s08,s06
08.pgm,s08,s16
09.pgm,s08,s15
10.pgm,s08,s16
04.pgm,s09,s06
05.pgm,s09,s07
06.pgm,s09,s05
07.pgm,s09,s13
08.pgm,s09,s05
09.pgm,s09,s09
10.pgm,s09,s24
04.pgm,s10,s03
05.pgm,s10,s39
06.pgm,s10,s06
07.pgm,s10,s20
08.pgm,s10,s06
09.pgm,s10,s34
10.pgm,s10,s04
04.pgm,s11,s31
05.pgm,s11,s14
06.pgm,s11,s20
07.pgm,s11,s15
08.pgm,s11,s09
09.pgm,s11,s03
10.pgm,s11,s10
04.pgm,s12,s07
05.pgm,s12,s26
06.pgm,s12,s10
07.pgm,s12,s24
08.pgm,s12,s40
09.pgm,s12,s17
10.pgm,s12,s15
04.pgm,s13,s22
05.pgm,s13,s29
06.pgm,s13,s04
07.pgm,s13,s05
08.pgm,s13,s27
09.pgm,s13,s22
10.pgm,s13,s05
04.pgm,s14,s09
05.pgm,s14,s37
06.pgm,s14,s09
07.pgm,s14,s17
08.pgm,s14,s15
09.pgm,s14,s03
10.pgm,s14,s37
04.pgm,s15,s21
05.pgm,s15,s04
06.pgm,s15,s14
07.pgm,s15,s11
08.pgm,s15,s11
09.pgm,s15,s04
10.pgm,s15,s09
04.pgm,s16,s11
05.pgm,s16,s11
06.pgm,s16,s25
07.pgm,s16,s35
08.pgm,s16,s13
09.pgm,s16,s19
10.pgm,s16,s17
04.pgm,s17,s03
05.pgm,s17,s12
06.pgm,s17,s03
07.pgm,s17,s03
08.pgm,s17,s24
09.pgm,s17,s21
10.pgm,s17,s12
04.pgm,s18,s30
05.pgm,s18,s25
06.pgm,s18,s20
07.pgm,s18,s25
08.pgm,s18,s40
09.pgm,s18,s25
10.pgm,s18,s36
04.pgm,s19,s20
05.pgm,s19,s07
06.pgm,s19,s22
07.pgm,s19,s07
08.pgm,s19,s17
09.pgm,s19,s21
10.pgm,s19,s12
04.pgm,s20,s17
05.pgm,s20,s09
06.pgm,s20,s03
07.pgm,s20,s17
08.pgm,s20,s33
09.pgm,s20,s06
10.pgm,s20,s16
04.pgm,s21,s12
05.pgm,s21,s09
06.pgm,s21,s25
07.pgm,s21,s08
08.pgm,s21,s28
09.pgm,s21,s30
10.pgm,s21,s12
04.pgm,s22,s01
05.pgm,s22,s12
06.pgm,s22,s06
07.pgm,s22,s16
08.pgm,s22,s30
09.pgm,s22,s31
10.pgm,s22,s13
04.pgm,s23,s12
05.pgm,s23,s21
06.pgm,s23,s11
07.pgm,s23,s15
08.pgm,s23,s14
09.pgm,s23,s07
10.pgm,s23,s15
04.pgm,s24,s03
05.pgm,s24,s24
06.pgm,s24,s35
07.pgm,s24,s03
08.pgm,s24,s23
09.pgm,s24,s02
10.pgm,s24,s12
04.pgm,s25,s12
05.pgm,s25,s18
06.pgm,s25,s40
07.pgm,s25,s24
08.pgm,s25,s15
09.pgm,s25,s04
10.pgm,s25,s40
04.pgm,s26,s20
05.pgm,s26,s15
06.pgm,s26,s06
07.pgm,s26,s05
08.pgm,s26,s21
09.pgm,s26,s04
10.pgm,s26,s16
04.pgm,s27,s03
05.pgm,s27,s27
06.pgm,s27,s09
07.pgm,s27,s35
08.pgm,s27,s16
09.pgm,s27,s14
10.pgm,s27,s24
04.pgm,s28,s20
05.pgm,s28,s04
06.pgm,s28,s04
07.pgm,s28,s15
08.pgm,s28,s28
09.pgm,s28,s10
10.pgm,s28,s12
04.pgm,s29,s09
05.pgm,s29,s08
06.pgm,s29,s17
07.pgm,s29,s31
08.pgm,s29,s03
09.pgm,s29,s39
10.pgm,s29,s15
04.pgm,s30,s03
05.pgm,s30,s18
06.pgm,s30,s11
07.pgm,s30,s27
08.pgm,s30,s22
09.pgm,s30,s29
10.pgm,s30,s05
04.pgm,s31,s01
05.pgm,s31,s11
06.pgm,s31,s09
07.pgm,s31,s21
08.pgm,s31,s10
09.pgm,s31,s24
10.pgm,s31,s11
04.pgm,s32,s23
05.pgm,s32,s10
06.pgm,s32,s22
07.pgm,s32,s12
08.pgm,s32,s07
09.pgm,s32,s26
10.pgm,s32,s10
04.pgm,s33,s08
05.pgm,s33,s29
06.pgm,s33,s11
07.pgm,s33,s25
08.pgm,s33,s02
09.pgm,s33,s08
10.pgm,s33,s38
04.pgm,s34,s38
05.pgm,s34,s01
06.pgm,s34,s28
07.pgm,s34,s11
08.pgm,s34,s32
09.pgm,s34,s39
10.pgm,s34,s12
04.pgm,s35,s08
05.pgm,s35,s22
06.pgm,s35,s16
07.pgm,s35,s19
08.pgm,s35,s05
09.pgm,s35,s15
10.pgm,s35,s20
04.pgm,s36,s03
05.pgm,s36,s22
06.pgm,s36,s02
07.pgm,s36,s21
08.pgm,s36,s26
09.pgm,s36,s22
10.pgm,s36,s14
04.pgm,s37,s19
05.pgm,s37,s23
06.pgm,s37,s16
07.pgm,s37,s11
08.pgm,s37,s40
09.pgm,s37,s26
10.pgm,s37,s17
04.pgm,s38,s34
05.pgm,s38,s14
06.pgm,s38,s19
07.pgm,s38,s14
08.pgm,s38,s27
09.pgm,s38,s34
10.pgm,s38,s30
04.pgm,s39,s19
05.pgm,s39,s19
06.pgm,s39,s06
07.pgm,s39,s08
08.pgm,s39,s18
09.pgm,s39,s14
10.pgm,s39,s17
04.pgm,s40,s25
05.pgm,s40,s13
06.pgm,s40,s24
07.pgm,s40,s05
08.pgm,s40,s21
09.pgm,s40,s05
10.pgm,s40,s18
_lzma
04.pgm,s01,s23
05.pgm,s01,s14
06.pgm,s01,s33
07.pgm,s01,s19
08.pgm,s01,s13
09.pgm,s01,s13
10.pgm,s01,s11
04.pgm,s02,s12
05.pgm,s02,s24
06.pgm,s02,s27
07.pgm,s02,s23
08.pgm,s02,s13
09.pgm,s02,s36
10.pgm,s02,s30
04.pgm,s03,s05
05.pgm,s03,s28
06.pgm,s03,s11
07.pgm,s03,s24
08.pgm,s03,s27
09.pgm,s03,s13
10.pgm,s03,s29
04.pgm,s04,s08
05.pgm,s04,s35
06.pgm,s04,s35
07.pgm,s04,s09
08.pgm,s04,s11
09.pgm,s04,s29
10.pgm,s04,s39
04.pgm,s05,s01
05.pgm,s05,s25
06.pgm,s05,s21
07.pgm,s05,s12
08.pgm,s05,s05
09.pgm,s05,s10
10.pgm,s05,s02
04.pgm,s06,s08
05.pgm,s06,s11
06.pgm,s06,s16
07.pgm,s06,s28
08.pgm,s06,s23
09.pgm,s06,s17
10.pgm,s06,s08
04.pgm,s07,s08
05.pgm,s07,s10
06.pgm,s07,s23
07.pgm,s07,s25
08.pgm,s07,s23
09.pgm,s07,s01
10.pgm,s07,s24
04.pgm,s08,s03
05.pgm,s08,s08
06.pgm,s08,s36
07.pgm,s08,s29
08.pgm,s08,s29
09.pgm,s08,s33
10.pgm,s08,s23
04.pgm,s09,s01
05.pgm,s09,s14
06.pgm,s09,s01
07.pgm,s09,s13
08.pgm,s09,s14
09.pgm,s09,s18
10.pgm,s09,s08
04.pgm,s10,s40
05.pgm,s10,s18
06.pgm,s10,s05
07.pgm,s10,s04
08.pgm,s10,s23
09.pgm,s10,s09
10.pgm,s10,s04
04.pgm,s11,s16
05.pgm,s11,s03
06.pgm,s11,s12
07.pgm,s11,s12
08.pgm,s11,s10
09.pgm,s11,s16
10.pgm,s11,s37
04.pgm,s12,s02
05.pgm,s12,s11
06.pgm,s12,s20
07.pgm,s12,s11
08.pgm,s12,s33
09.pgm,s12,s26
10.pgm,s12,s15
04.pgm,s13,s32
05.pgm,s13,s30
06.pgm,s13,s24
07.pgm,s13,s15
08.pgm,s13,s08
09.pgm,s13,s29
10.pgm,s13,s13
04.pgm,s14,s23
05.pgm,s14,s22
06.pgm,s14,s05
07.pgm,s14,s22
08.pgm,s14,s11
09.pgm,s14,s02
10.pgm,s14,s05
04.pgm,s15,s01
05.pgm,s15,s11
06.pgm,s15,s08
07.pgm,s15,s01
08.pgm,s15,s18
09.pgm,s15,s01
10.pgm,s15,s16
04.pgm,s16,s26
05.pgm,s16,s02
06.pgm,s16,s30
07.pgm,s16,s29
08.pgm,s16,s32
09.pgm,s16,s15
10.pgm,s16,s01
04.pgm,s17,s08
05.pgm,s17,s15
06.pgm,s17,s08
07.pgm,s17,s01
08.pgm,s17,s08
09.pgm,s17,s23
10.pgm,s17,s16
04.pgm,s18,s04
05.pgm,s18,s02
06.pgm,s18,s15
07.pgm,s18,s14
08.pgm,s18,s03
09.pgm,s18,s03
10.pgm,s18,s10
04.pgm,s19,s05
05.pgm,s19,s02
06.pgm,s19,s11
07.pgm,s19,s13
08.pgm,s19,s12
09.pgm,s19,s16
10.pgm,s19,s05
04.pgm,s20,s02
05.pgm,s20,s06
06.pgm,s20,s25
07.pgm,s20,s37
08.pgm,s20,s05
09.pgm,s20,s04
10.pgm,s20,s14
04.pgm,s21,s23
05.pgm,s21,s08
06.pgm,s21,s23
07.pgm,s21,s01
08.pgm,s21,s08
09.pgm,s21,s24
10.pgm,s21,s18
04.pgm,s22,s32
05.pgm,s22,s01
06.pgm,s22,s04
07.pgm,s22,s26
08.pgm,s22,s18
09.pgm,s22,s14
10.pgm,s22,s24
04.pgm,s23,s07
05.pgm,s23,s03
06.pgm,s23,s17
07.pgm,s23,s02
08.pgm,s23,s19
09.pgm,s23,s22
10.pgm,s23,s15
04.pgm,s24,s08
05.pgm,s24,s11
06.pgm,s24,s26
07.pgm,s24,s07
08.pgm,s24,s34
09.pgm,s24,s08
10.pgm,s24,s01
04.pgm,s25,s32
05.pgm,s25,s10
06.pgm,s25,s27
07.pgm,s25,s31
08.pgm,s25,s01
09.pgm,s25,s02
10.pgm,s25,s32
04.pgm,s26,s01
05.pgm,s26,s24
06.pgm,s26,s36
07.pgm,s26,s04
08.pgm,s26,s01
09.pgm,s26,s08
10.pgm,s26,s39
04.pgm,s27,s22
05.pgm,s27,s15
06.pgm,s27,s18
07.pgm,s27,s11
08.pgm,s27,s22
09.pgm,s27,s02
10.pgm,s27,s38
04.pgm,s28,s12
05.pgm,s28,s24
06.pgm,s28,s18
07.pgm,s28,s08
08.pgm,s28,s01
09.pgm,s28,s05
10.pgm,s28,s11
04.pgm,s29,s11
05.pgm,s29,s38
06.pgm,s29,s08
07.pgm,s29,s26
08.pgm,s29,s01
09.pgm,s29,s22
10.pgm,s29,s27
04.pgm,s30,s18
05.pgm,s30,s02
06.pgm,s30,s04
07.pgm,s30,s14
08.pgm,s30,s04
09.pgm,s30,s27
10.pgm,s30,s12
04.pgm,s31,s25
05.pgm,s31,s18
06.pgm,s31,s23
07.pgm,s31,s22
08.pgm,s31,s26
09.pgm,s31,s33
10.pgm,s31,s36
04.pgm,s32,s10
05.pgm,s32,s29
06.pgm,s32,s28
07.pgm,s32,s18
08.pgm,s32,s27
09.pgm,s32,s28
10.pgm,s32,s08
04.pgm,s33,s11
05.pgm,s33,s11
06.pgm,s33,s01
07.pgm,s33,s08
08.pgm,s33,s30
09.pgm,s33,s24
10.pgm,s33,s18
04.pgm,s34,s18
05.pgm,s34,s18
06.pgm,s34,s13
07.pgm,s34,s10
08.pgm,s34,s17
09.pgm,s34,s18
10.pgm,s34,s27
04.pgm,s35,s13
05.pgm,s35,s14
06.pgm,s35,s40
07.pgm,s35,s16
08.pgm,s35,s30
09.pgm,s35,s24
10.pgm,s35,s20
04.pgm,s36,s18
05.pgm,s36,s05
06.pgm,s36,s01
07.pgm,s36,s23
08.pgm,s36,s01
09.pgm,s36,s01
10.pgm,s36,s21
04.pgm,s37,s24
05.pgm,s37,s29
06.pgm,s37,s38
07.pgm,s37,s29
08.pgm,s37,s15
09.pgm,s37,s37
10.pgm,s37,s10
04.pgm,s38,s05
05.pgm,s38,s12
06.pgm,s38,s35
07.pgm,s38,s09
08.pgm,s38,s22
09.pgm,s38,s06
10.pgm,s38,s20
04.pgm,s39,s08
05.pgm,s39,s01
06.pgm,s39,s01
07.pgm,s39,s10
08.pgm,s39,s01
09.pgm,s39,s11
10.pgm,s39,s19
04.pgm,s40,s12
05.pgm,s40,s11
06.pgm,s40,s24
07.pgm,s40,s13
08.pgm,s40,s08
09.pgm,s40,s03
10.pgm,s40,s18
_bzip2
04.pgm,s01,s03
05.pgm,s01,s07
06.pgm,s01,s20
07.pgm,s01,s28
08.pgm,s01,s13
09.pgm,s01,s12
10.pgm,s01,s07
04.pgm,s02,s32
05.pgm,s02,s37
06.pgm,s02,s14
07.pgm,s02,s22
08.pgm,s02,s27
09.pgm,s02,s14
10.pgm,s02,s01
04.pgm,s03,s14
05.pgm,s03,s18
06.pgm,s03,s11
07.pgm,s03,s11
08.pgm,s03,s22
09.pgm,s03,s30
10.pgm,s03,s29
04.pgm,s04,s04
05.pgm,s04,s11
06.pgm,s04,s14
07.pgm,s04,s38
08.pgm,s04,s08
09.pgm,s04,s01
10.pgm,s04,s11
04.pgm,s05,s08
05.pgm,s05,s17
06.pgm,s05,s27
07.pgm,s05,s07
08.pgm,s05,s07
09.pgm,s05,s04
10.pgm,s05,s08
04.pgm,s06,s01
05.pgm,s06,s01
06.pgm,s06,s01
07.pgm,s06,s01
08.pgm,s06,s11
09.pgm,s06,s01
10.pgm,s06,s01
04.pgm,s07,s13
05.pgm,s07,s29
06.pgm,s07,s29
07.pgm,s07,s18
08.pgm,s07,s18
09.pgm,s07,s26
10.pgm,s07,s25
04.pgm,s08,s11
05.pgm,s08,s19
06.pgm,s08,s19
07.pgm,s08,s14
08.pgm,s08,s01
09.pgm,s08,s19
10.pgm,s08,s11
04.pgm,s09,s18
05.pgm,s09,s16
06.pgm,s09,s11
07.pgm,s09,s10
08.pgm,s09,s07
09.pgm,s09,s16
10.pgm,s09,s18
04.pgm,s10,s01
05.pgm,s10,s07
06.pgm,s10,s05
07.pgm,s10,s05
08.pgm,s10,s16
09.pgm,s10,s14
10.pgm,s10,s01
04.pgm,s11,s26
05.pgm,s11,s16
06.pgm,s11,s05
07.pgm,s11,s15
08.pgm,s11,s03
09.pgm,s11,s02
10.pgm,s11,s08
04.pgm,s12,s12
05.pgm,s12,s08
06.pgm,s12,s23
07.pgm,s12,s08
08.pgm,s12,s28
09.pgm,s12,s01
10.pgm,s12,s25
04.pgm,s13,s11
05.pgm,s13,s18
06.pgm,s13,s01
07.pgm,s13,s11
08.pgm,s13,s11
09.pgm,s13,s29
10.pgm,s13,s38
04.pgm,s14,s30
05.pgm,s14,s08
06.pgm,s14,s18
07.pgm,s14,s09
08.pgm,s14,s08
09.pgm,s14,s18
10.pgm,s14,s30
04.pgm,s15,s01
05.pgm,s15,s11
06.pgm,s15,s08
07.pgm,s15,s27
08.pgm,s15,s30
09.pgm,s15,s14
10.pgm,s15,s36
04.pgm,s16,s12
05.pgm,s16,s07
06.pgm,s16,s25
07.pgm,s16,s16
08.pgm,s16,s11
09.pgm,s16,s14
10.pgm,s16,s29
04.pgm,s17,s17
05.pgm,s17,s01
06.pgm,s17,s32
07.pgm,s17,s32
08.pgm,s17,s12
09.pgm,s17,s29
10.pgm,s17,s14
04.pgm,s18,s14
05.pgm,s18,s27
06.pgm,s18,s14
07.pgm,s18,s01
08.pgm,s18,s16
09.pgm,s18,s01
10.pgm,s18,s14
04.pgm,s19,s04
05.pgm,s19,s31
06.pgm,s19,s01
07.pgm,s19,s31
08.pgm,s19,s13
09.pgm,s19,s09
10.pgm,s19,s38
04.pgm,s20,s02
05.pgm,s20,s20
06.pgm,s20,s08
07.pgm,s20,s24
08.pgm,s20,s22
09.pgm,s20,s25
10.pgm,s20,s01
04.pgm,s21,s30
05.pgm,s21,s18
06.pgm,s21,s01
07.pgm,s21,s29
08.pgm,s21,s01
09.pgm,s21,s29
10.pgm,s21,s29
04.pgm,s22,s11
05.pgm,s22,s01
06.pgm,s22,s19
07.pgm,s22,s27
08.pgm,s22,s27
09.pgm,s22,s14
10.pgm,s22,s01
04.pgm,s23,s28
05.pgm,s23,s07
06.pgm,s23,s16
07.pgm,s23,s14
08.pgm,s23,s01
09.pgm,s23,s29
10.pgm,s23,s16
04.pgm,s24,s37
05.pgm,s24,s24
06.pgm,s24,s11
07.pgm,s24,s12
08.pgm,s24,s11
09.pgm,s24,s01
10.pgm,s24,s16
04.pgm,s25,s11
05.pgm,s25,s11
06.pgm,s25,s01
07.pgm,s25,s16
08.pgm,s25,s01
09.pgm,s25,s01
10.pgm,s25,s10
04.pgm,s26,s37
05.pgm,s26,s16
06.pgm,s26,s27
07.pgm,s26,s32
08.pgm,s26,s37
09.pgm,s26,s01
10.pgm,s26,s16
04.pgm,s27,s21
05.pgm,s27,s24
06.pgm,s27,s02
07.pgm,s27,s21
08.pgm,s27,s21
09.pgm,s27,s05
10.pgm,s27,s05
04.pgm,s28,s08
05.pgm,s28,s26
06.pgm,s28,s01
07.pgm,s28,s18
08.pgm,s28,s29
09.pgm,s28,s01
10.pgm,s28,s05
04.pgm,s29,s29
05.pgm,s29,s29
06.pgm,s29,s29
07.pgm,s29,s29
08.pgm,s29,s11
09.pgm,s29,s20
10.pgm,s29,s11
04.pgm,s30,s10
05.pgm,s30,s02
06.pgm,s30,s11
07.pgm,s30,s27
08.pgm,s30,s32
09.pgm,s30,s06
10.pgm,s30,s10
04.pgm,s31,s05
05.pgm,s31,s02
06.pgm,s31,s11
07.pgm,s31,s03
08.pgm,s31,s01
09.pgm,s31,s13
10.pgm,s31,s24
04.pgm,s32,s05
05.pgm,s32,s26
06.pgm,s32,s02
07.pgm,s32,s02
08.pgm,s32,s01
09.pgm,s32,s38
10.pgm,s32,s24
04.pgm,s33,s11
05.pgm,s33,s11
06.pgm,s33,s16
07.pgm,s33,s11
08.pgm,s33,s08
09.pgm,s33,s11
10.pgm,s33,s11
04.pgm,s34,s24
05.pgm,s34,s24
06.pgm,s34,s24
07.pgm,s34,s01
08.pgm,s34,s29
09.pgm,s34,s01
10.pgm,s34,s14
04.pgm,s35,s01
05.pgm,s35,s29
06.pgm,s35,s30
07.pgm,s35,s27
08.pgm,s35,s01
09.pgm,s35,s01
10.pgm,s35,s22
04.pgm,s36,s18
05.pgm,s36,s05
06.pgm,s36,s01
07.pgm,s36,s18
08.pgm,s36,s18
09.pgm,s36,s05
10.pgm,s36,s05
04.pgm,s37,s18
05.pgm,s37,s18
06.pgm,s37,s29
07.pgm,s37,s22
08.pgm,s37,s25
09.pgm,s37,s01
10.pgm,s37,s18
04.pgm,s38,s38
05.pgm,s38,s04
06.pgm,s38,s16
07.pgm,s38,s01
08.pgm,s38,s11
09.pgm,s38,s19
10.pgm,s38,s38
04.pgm,s39,s01
05.pgm,s39,s11
06.pgm,s39,s14
07.pgm,s39,s01
08.pgm,s39,s11
09.pgm,s39,s11
10.pgm,s39,s12
04.pgm,s40,s11
05.pgm,s40,s11
06.pgm,s40,s01
07.pgm,s40,s32
08.pgm,s40,s23
09.pgm,s40,s32
10.pgm,s40,s11
_7z
04.pgm,s01,s01
05.pgm,s01,s01
06.pgm,s01,s01
07.pgm,s01,s01
08.pgm,s01,s01
09.pgm,s01,s01
10.pgm,s01,s01
04.pgm,s02,s01
05.pgm,s02,s01
06.pgm,s02,s01
07.pgm,s02,s01
08.pgm,s02,s01
09.pgm,s02,s01
10.pgm,s02,s01
04.pgm,s03,s01
05.pgm,s03,s01
06.pgm,s03,s01
07.pgm,s03,s01
08.pgm,s03,s01
09.pgm,s03,s01
10.pgm,s03,s01
04.pgm,s04,s01
05.pgm,s04,s01
06.pgm,s04,s01
07.pgm,s04,s01
08.pgm,s04,s01
09.pgm,s04,s01
10.pgm,s04,s01
04.pgm,s05,s01
05.pgm,s05,s01
06.pgm,s05,s01
07.pgm,s05,s01
08.pgm,s05,s01
09.pgm,s05,s01
10.pgm,s05,s01
04.pgm,s06,s01
05.pgm,s06,s01
06.pgm,s06,s01
07.pgm,s06,s01
08.pgm,s06,s01
09.pgm,s06,s01
10.pgm,s06,s01
